# 生徒苗字読み（セクション9より）
栗村	くりむら
扇喜	おき
内海	うつみ
室笠	むろかさ
鰐渕	わにぶち
清澄	きよすみ
栗浜	くりはま
天雨	あまう
土生	はぶ
白洲	しらす
一之瀬	いちのせ
秤	はかり
奥空	おくそら
七稜	ななかど
岩櫃	いわびつ
天童	てんどう
陸八魔	りくはちま
銀鏡	しろみ
久田	くだ
獅子堂	ししどう
仲正	なかまさ
丹花	たんが
棗	なつめ
古関	こぜき
白石	しらいし
里浜	さとはま
和泉元	いずみもと
白尾	しらお
旗見	はたみ
申谷	しんたに
勇美	いさみ
漆原	うるしばら
杏山	きょうやま
鬼怒川	きぬがわ
板垣	いたがき
桑上	くわかみ
不知火	しらぬい
鬼方	おにかた
角楯	かくだて
尾刃	おがた
桐生	きりゅう
竜華	りゅうげ
夜桜	よざくら
中務	なかつかさ
春原	すのはら
音瀬	おとせ
豊見	とよみ
志真	しま
下江	しもえ
黒崎	くろさき
錠前	じょうまえ
空井	そらい
歌住	うたずみ
京極	きょうごく
薬子	やくし
間宵	まよい
河和	かわわ
川流	かわる
円堂	えんどう
牛牧	うしまき
箭吹	やぶき
赤司	あかし
砂狼	すなおおかみ
朝霧	あさぎり
守月	もりづき
梯	かけはし
乙花	おとはな
百合園	ゆりぞの
氷室	ひむろ
黒見	くろみ
鷲見	すみ
三善	みよし
元宮	もとみや
連河	れんかわ
和楽	わらく
火宮	ひのみや
各務	かがみ
大野	おおの
春日	かすが
椎名	しいな
剣先	けんざき
飛鳥馬	あすま
佐城	さしろ
桐藤	きりふじ
御稜	ごりょう
柚鳥	ゆとり
天地	あまち
美甘	みかも
生塩	うしお
橘	たちばな
天見	あまみ
十六夜	いざよい
羽川	はねかわ
朝顔	あさがお
浦和	うらわ
伊草	いぐさ
黒舘	くろだて
小鈎	おまがり
空崎	そらさき
若葉	わかば
猫塚	ねこづか
阿慈谷	あじたに
明星	あけぼし
槌永	つちなが
朝比奈	あさひな
愛清	あいきよ
合歓垣	ねむがき
若狭	わかさ
小鳥遊	たかなし
風巻	かざまき
立木	たちぎ
小塗	こぬり
羽沼	はぬま
静山	しずやま
伊落	いおち
池倉	いけくら
聖園	みその
初音	はつね
戒野	いましの
千鳥	ちどり
才羽	さいば
近衛	このえ
蒼森	あおもり
安守	やすもり
水羽	みずは
月雪	つきゆき
霞沢	かすみざわ
桜井	さくらい
吾妻	あづま
浅黄	あさぎ
下倉	しもくら
姫木	ひめき
風倉	かぜくら
秋泉	あきいずみ
由良木	ゆらき
荒槇	あらまき
早瀬	はやせ
勘解由小路	かでのこうじ
七度	しちど
花岡	はなおか
梔子	くちなし
伊原木	いばらぎ
河駒風	こまかぜ
調月	つかつき
薄葉	うすば
七神	なながみ
朱城	あけしろ
野正	のまさ
宇沢	うざわ
鹿山	かやま
衣斐	きぬい
不破	ふわ
狐坂	こさか
御坂	みさか
食蜂	しょくほう
佐天	さてん
# 追加の読み間違い修正
良い	いい
